Iteration,Evaluation Loss,Evaluation Accuracy
569,0.2664,92.61
570,0.2659,92.61
571,0.2655,92.61
572,0.2652,92.63
573,0.265,92.65
574,0.2648,92.68
575,0.2645,92.68
576,0.2641,92.71
577,0.2636,92.72
578,0.2632,92.72
579,0.2628,92.75
580,0.2625,92.76
581,0.2622,92.77
582,0.2617,92.82
583,0.2614,92.81
584,0.2612,92.8
585,0.261,92.8
586,0.2605,92.82
587,0.2602,92.81
588,0.2599,92.82
589,0.2597,92.82
590,0.2595,92.84
591,0.2592,92.86
592,0.2589,92.87
593,0.2586,92.85
594,0.2583,92.88
595,0.2578,92.92
596,0.2572,92.93
597,0.2567,92.92
598,0.2564,92.93
599,0.2561,92.91
600,0.2556,92.94
601,0.2553,92.93
602,0.2549,92.96
603,0.2544,92.98
604,0.254,93.0
605,0.2537,93.02
606,0.2533,93.03
607,0.2529,93.03
608,0.2525,93.01
609,0.2522,93.02
610,0.2521,93.02
611,0.2518,93.02
612,0.2516,93.03
613,0.2514,93.03
614,0.2511,92.98
615,0.2509,92.95
616,0.2507,93.0
617,0.2505,93.02
618,0.2502,93.03
619,0.2499,93.08
620,0.2494,93.13
621,0.2488,93.13
622,0.2484,93.15
623,0.2481,93.14
624,0.248,93.15
625,0.2479,93.22
626,0.2479,93.18
627,0.2478,93.18
628,0.2477,93.19
629,0.2476,93.17
630,0.2474,93.19
631,0.2472,93.18
632,0.247,93.21
633,0.2467,93.22
634,0.2463,93.23
635,0.2461,93.23
636,0.2457,93.24
637,0.2454,93.26
638,0.245,93.31
639,0.2447,93.32
640,0.2443,93.3
641,0.244,93.28
642,0.2438,93.26
643,0.2435,93.29
644,0.2431,93.29
645,0.2429,93.31
646,0.2429,93.31
647,0.2429,93.27
648,0.2427,93.3
649,0.2427,93.33
650,0.2429,93.31
651,0.2433,93.26
652,0.2436,93.25
653,0.2435,93.24
654,0.2433,93.26
655,0.2429,93.26
656,0.2424,93.33
657,0.2419,93.35
658,0.2415,93.39
659,0.2413,93.41
660,0.2411,93.4
661,0.2407,93.46
662,0.2403,93.46
663,0.2399,93.46
664,0.2395,93.45
665,0.2393,93.5
666,0.2389,93.49
667,0.2385,93.51
668,0.2382,93.51
669,0.238,93.56
670,0.2378,93.56
671,0.2376,93.55
672,0.2373,93.57
673,0.2371,93.6
674,0.2368,93.59
675,0.2365,93.61
676,0.2363,93.6
677,0.2362,93.59
678,0.2361,93.6
679,0.2359,93.59
680,0.2357,93.59
681,0.2354,93.6
682,0.2352,93.63
683,0.2349,93.59
684,0.2347,93.59
685,0.2348,93.52
686,0.2348,93.53
687,0.2347,93.51
688,0.2345,93.48
689,0.2343,93.52
690,0.2342,93.53
691,0.234,93.51
692,0.2338,93.5
693,0.2337,93.47
694,0.2335,93.47
695,0.2334,93.54
696,0.2333,93.53
697,0.2333,93.56
698,0.2335,93.58
699,0.2334,93.62
700,0.2332,93.63
701,0.2331,93.64
702,0.233,93.67
703,0.2328,93.66
704,0.2327,93.64
705,0.2325,93.63
706,0.2324,93.61
707,0.2321,93.6
708,0.2319,93.64
709,0.2318,93.66
710,0.2317,93.68
711,0.2315,93.67
712,0.2313,93.65
713,0.2312,93.67
714,0.2312,93.67
715,0.2311,93.68
716,0.231,93.69
717,0.2308,93.69
718,0.2307,93.68
719,0.2306,93.67
720,0.2305,93.69
721,0.2304,93.69
722,0.2303,93.68
723,0.2302,93.69
724,0.2301,93.7
725,0.2299,93.7
726,0.2298,93.71
727,0.2296,93.7
728,0.2296,93.7
729,0.2295,93.72
730,0.2295,93.73
731,0.2294,93.73
732,0.2293,93.73
733,0.2292,93.77
734,0.2291,93.77
735,0.2289,93.77
736,0.2288,93.77
737,0.2287,93.78
738,0.2286,93.78
739,0.2285,93.78
740,0.2284,93.78
741,0.2283,93.79
742,0.2282,93.78
743,0.228,93.8
744,0.2279,93.8
745,0.2277,93.78
746,0.2277,93.8
747,0.2278,93.81
748,0.2278,93.81
749,0.2278,93.81
750,0.2277,93.81
751,0.2275,93.82
752,0.2274,93.82
753,0.2273,93.83
754,0.2272,93.84
755,0.2271,93.84
756,0.2271,93.82
757,0.2271,93.82
758,0.2271,93.81
759,0.2271,93.82
760,0.227,93.81
761,0.2269,93.82
762,0.2267,93.83
763,0.2266,93.83
764,0.2264,93.83
765,0.2262,93.84
766,0.226,93.83
767,0.2258,93.82
768,0.2256,93.83
769,0.2253,93.81
770,0.2252,93.81
771,0.225,93.84
772,0.2249,93.86
773,0.2248,93.87
774,0.2248,93.86
775,0.2248,93.84
776,0.2247,93.84
777,0.2246,93.84
778,0.2245,93.84
779,0.2243,93.84
780,0.2241,93.87
781,0.224,93.85
782,0.2239,93.83
783,0.2239,93.84
784,0.2239,93.85
785,0.2239,93.85
786,0.2238,93.86
787,0.2237,93.85
788,0.2236,93.85
789,0.2235,93.86
790,0.2233,93.86
791,0.2232,93.84
792,0.223,93.86
793,0.2228,93.86
794,0.2227,93.88
795,0.2226,93.9
796,0.2226,93.91
797,0.2225,93.89
798,0.2225,93.88
799,0.2225,93.87
800,0.2225,93.88
801,0.2224,93.87
802,0.2223,93.87
803,0.2223,93.87
804,0.2222,93.87
805,0.222,93.89
806,0.2218,93.89
807,0.2218,93.89
808,0.2217,93.9
809,0.2218,93.89
810,0.2219,93.92
811,0.2219,93.93
812,0.2217,93.94
813,0.2216,93.95
814,0.2215,93.93
815,0.2213,93.94
816,0.2212,93.92
817,0.221,93.92
818,0.2208,93.93
819,0.2207,93.93
820,0.2206,93.93
821,0.2205,93.95
822,0.2204,93.95
823,0.2203,93.95
824,0.2202,93.95
825,0.22,93.93
826,0.2199,93.92
827,0.2197,93.93
828,0.2197,93.95
829,0.2196,93.97
830,0.2196,93.98
831,0.2194,93.99
832,0.2192,93.97
833,0.2191,93.97
834,0.219,93.98
835,0.219,93.98
836,0.2191,93.98
837,0.2191,93.98
838,0.219,93.99
839,0.2189,94.01
840,0.2189,93.98
841,0.2189,93.98
842,0.2188,94.0
843,0.2188,93.98
844,0.2187,93.98
845,0.2186,93.99
846,0.2183,94.0
847,0.2182,93.99
848,0.218,93.99
849,0.218,93.98
850,0.218,93.99
851,0.2179,94.0
852,0.2178,94.0
853,0.2177,94.01
854,0.2177,94.02
855,0.2176,94.01
856,0.2176,94.01
857,0.2174,94.02
858,0.2173,94.05
859,0.2172,94.05
860,0.2171,94.04
861,0.2172,94.04
862,0.2171,94.03
863,0.2171,94.03
864,0.2171,94.03
865,0.2171,94.03
866,0.217,94.03
867,0.2168,94.03
868,0.2166,94.05
869,0.2164,94.07
870,0.2162,94.07
871,0.216,94.08
872,0.2158,94.08
873,0.2157,94.1
874,0.2157,94.08
875,0.2156,94.09
876,0.2155,94.13
877,0.2155,94.11
878,0.2154,94.12
879,0.2152,94.12
880,0.2152,94.12
881,0.2151,94.13
882,0.215,94.12
883,0.215,94.11
884,0.215,94.12
885,0.215,94.13
886,0.2149,94.16
887,0.2147,94.18
888,0.2145,94.2
889,0.2143,94.19
890,0.2142,94.17
891,0.2142,94.15
892,0.2141,94.14
893,0.2142,94.15
894,0.2142,94.13
895,0.2141,94.14
896,0.214,94.15
897,0.2139,94.16
898,0.2137,94.19
899,0.2136,94.2
